topic,the concept of the topic,candidate,candidate masked,label,wikipedia article name,wikipedia url
We should legalize organ trade,organ trade,The torsos of the bodies were missing and the investigating team was looking into possibilities of the motivation of the killings to be that of organ trade.,The torsos of the bodies were missing and the investigating team was looking into possibilities of the motivation of the killings to be that of TOPIC_CONCEPT.,0,Noida serial murders,https://en.wikipedia.org/wiki/Noida_serial_murders
We should legalize organ trade,organ trade,Tabarrok concluded his study suggesting that gradual elimination of organ donation restrictions and move to a free market in organ sales will increase supply of organs and encourage broader social acceptance of organ donation as a practice.,Tabarrok concluded his study suggesting that gradual elimination of organ donation restrictions and move to a free market in TOPIC_CONCEPT will increase supply of organs and encourage broader social acceptance of organ donation as a practice.,1,Organ transplantation,https://en.wikipedia.org/wiki/Organ_transplantation
We should legalize organ trade,organ trade,"In October 2011, Rosenbaum plead guilty to three counts of organ trafficking and one count of conspiracy [REF].","In October 2011, Rosenbaum plead guilty to three counts of TOPIC_CONCEPT and one count of conspiracy [REF].",0,Operation Bid Rig,https://en.wikipedia.org/wiki/Operation_Bid_Rig
We should legalize organ trade,organ trade,"Private detective Shunsaku Ban and his nephew, Kenichi, travel to Metropolis to arrest Dr. Laughton, a mad scientist wanted for organ trafficking.","Private detective Shunsaku Ban and his nephew, Kenichi, travel to Metropolis to arrest Dr. Laughton, a mad scientist wanted for TOPIC_CONCEPT.",0,Metropolis (anime),https://en.wikipedia.org/wiki/Metropolis_(anime)
We should legalize organ trade,organ trade,"In the United States, The National Organ Transplant Act of 1984 made organ sales illegal.","In the United States, The National Organ Transplant Act of 1984 made TOPIC_CONCEPT illegal.",1,Organ transplantation,https://en.wikipedia.org/wiki/Organ_transplantation
We should legalize organ trade,organ trade,The World Health Organization has identified the Philippines as one of the five organ trafficking hotpots [REF].,The World Health Organization has identified the Philippines as one of the five TOPIC_CONCEPT hotpots [REF].,0,Human trafficking in the Philippines,https://en.wikipedia.org/wiki/Human_trafficking_in_the_Philippines
We should legalize organ trade,organ trade,"In Jordan, organ trade is illegal but in many cases organ donors are brought into Iran from Jordan to perform procedures [REF].","In Jordan, TOPIC_CONCEPT is illegal but in many cases organ donors are brought into Iran from Jordan to perform procedures [REF].",0,Organ trade,https://en.wikipedia.org/wiki/Organ_trade
We should legalize organ trade,organ trade,"Based on the success of piano and organ sales, Jasper determined to leverage the Kimball brand recognition to assist sales of office furniture, home furniture and electronics [REF].","Based on the success of piano and TOPIC_CONCEPT, Jasper determined to leverage the Kimball brand recognition to assist sales of office furniture, home furniture and electronics [REF].",0,Kimball International,https://en.wikipedia.org/wiki/Kimball_International
We should legalize cannabis,cannabis,"A 25 year longitudinal study of 1000 people concluded that ""regular or heavy cannabis use was associated with an increased risk of using other illicit drugs, abusing or becoming dependent upon other illicit drugs, and using a wider variety of other illicit drugs"" [REF].","A 25 year longitudinal study of 1000 people concluded that ""regular or heavy TOPIC_CONCEPT use was associated with an increased risk of using other illicit drugs, abusing or becoming dependent upon other illicit drugs, and using a wider variety of other illicit drugs"" [REF].",1,Cannabis in New Zealand,https://en.wikipedia.org/wiki/Cannabis_in_New_Zealand
We should legalize cannabis,cannabis,"In 2006 a study by Hashibe, Morgenstern, Cui, Tashkin, et al. suggested that smoking cannabis does not, by itself, increase the risk of lung cancer.","In 2006 a study by Hashibe, Morgenstern, Cui, Tashkin, et al. suggested that smoking TOPIC_CONCEPT does not, by itself, increase the risk of lung cancer.",1,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"Cannabis has been correlated with the development of various mental disorders in multiple studies, for example a recent 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that cannabis use is a risk factor for the development of incident psychotic symptoms.","TOPIC_CONCEPT has been correlated with the development of various mental disorders in multiple studies, for example a recent 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that TOPIC_CONCEPT use is a risk factor for the development of incident psychotic symptoms.",1,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make cannabis available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis [REF].,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make TOPIC_CONCEPT available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis [REF].,1,Brownie Mary,https://en.wikipedia.org/wiki/Brownie_Mary
We should legalize cannabis,cannabis,"The University of New South Wales' National Drug and Alcohol Research Centre's Drug Trends Bulletin for October 2009 shows that 58% of cannabis users in NSW believe hydroponically-grown cannabis to be ""very easily"" available; 43% believe bush-grown cannabis is ""very easy"" to find.","The University of New South Wales' National Drug and Alcohol Research Centre's Drug Trends Bulletin for October 2009 shows that 58% of TOPIC_CONCEPT users in NSW believe hydroponically-grown TOPIC_CONCEPT to be ""very easily"" available; 43% believe bush-grown TOPIC_CONCEPT is ""very easy"" to find.",0,Cannabis in Australia,https://en.wikipedia.org/wiki/Cannabis_in_Australia
We should legalize cannabis,cannabis,"Other notable policies include electing The House of Lords, abolishing the monarchy and decriminalization cannabis [REF].","Other notable policies include electing The House of Lords, abolishing the monarchy and decriminalization TOPIC_CONCEPT [REF].",0,Alliance for Green Socialism,https://en.wikipedia.org/wiki/Alliance_for_Green_Socialism
We should legalize cannabis,cannabis,"In 1974 Dr Robert DuPont, the White House drug czar, began to publicly support decriminalization of cannabis, seeing cannabis as a health problem.","In 1974 Dr Robert DuPont, the White House drug czar, began to publicly support decriminalization of cannabis, seeing TOPIC_CONCEPT as a health problem.",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,The Drug Enforcement Agency has reported that cannabis sales and trafficking support violent criminal gangs [REF].,The Drug Enforcement Agency has reported that TOPIC_CONCEPT sales and trafficking support violent criminal gangs [REF].,1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,Clinical studies and survey data have found that cannabis increases food enjoyment and interest in food [REF].,Clinical studies and survey data have found that TOPIC_CONCEPT increases food enjoyment and interest in food [REF].,1,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,"Psychopharmacologist David Nutt argues, though he is against full declassification, that the harm caused by cannabis is far less than that caused by alcohol or tobacco, which, if they were invented today ""would be illegal."" .","Psychopharmacologist David Nutt argues, though he is against full declassification, that the harm caused by TOPIC_CONCEPT is far less than that caused by alcohol or tobacco, which, if they were invented today ""would be illegal."" .",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,"The report, entitled ""Marijuana: A Signal of Misunderstanding,"" reviewed existing cannabis studies and concluded that cannabis does not cause physical addiction [REF].","The report, entitled ""Marijuana: A Signal of Misunderstanding,"" reviewed existing TOPIC_CONCEPT studies and concluded that TOPIC_CONCEPT does not cause physical addiction [REF].",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,"A study conducted by the Fred Hutchinson Cancer Research Center and funded by the National Institutes of Health, published in the journal Cancer March 15, 2009, linked long-term use of cannabis to an increased risk of 70 percent for testicular cancer with the scientists concluding that cannabis is harmful to the human endocrine and reproductive system.","A study conducted by the Fred Hutchinson Cancer Research Center and funded by the National Institutes of Health, published in the journal Cancer March 15, 2009, linked long-term use of TOPIC_CONCEPT to an increased risk of 70 percent for testicular cancer with the scientists concluding that TOPIC_CONCEPT is harmful to the human endocrine and reproductive system.",1,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,cannabis,"A study conducted by the Fred Hutchinson Cancer Research Center and funded by the National Institutes of Health, published in the journal Cancer March 15, 2009, linked long term use of cannabis to an increased risk of 70 percent for testicular cancer with the scientists concluding that cannabis is harmful to the human endocrine and reproductive system [REF].","A study conducted by the Fred Hutchinson Cancer Research Center and funded by the National Institutes of Health, published in the journal Cancer March 15, 2009, linked long term use of TOPIC_CONCEPT to an increased risk of 70 percent for testicular cancer with the scientists concluding that TOPIC_CONCEPT is harmful to the human endocrine and reproductive system [REF].",1,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,The researchers conclude there is emerging evidence that positive experiences to early cannabis use are a significant predictor of late dependence and that genetic predisposition plays a role in the development of problematic use.,The researchers conclude there is emerging evidence that positive experiences to early TOPIC_CONCEPT use are a significant predictor of late dependence and that genetic predisposition plays a role in the development of problematic use.,1,Cannabis dependence,https://en.wikipedia.org/wiki/Cannabis_dependence
We should legalize cannabis,cannabis,"The BEACH[REF] study (Bettering the Evaluation and Care of Health) conducted by the Australian General Practice Statistics and Classification Centre, based at the University of Sydney, found that ""cannabis smokers are more likely to suffer depression, anxiety and psychosis"".","The BEACH[REF] study (Bettering the Evaluation and Care of Health) conducted by the Australian General Practice Statistics and Classification Centre, based at the University of Sydney, found that ""TOPIC_CONCEPT smokers are more likely to suffer depression, anxiety and psychosis"".",1,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,cannabis,A poll conducted by The Mercury in October 2011 showed that 71% of Australians want Cannabis legalised [REF].,A poll conducted by The Mercury in October 2011 showed that 71% of Australians want TOPIC_CONCEPT legalised [REF].,1,Cannabis in Australia,https://en.wikipedia.org/wiki/Cannabis_in_Australia
We should legalize cannabis,cannabis,A study by Complutense University of Madrid found the chemicals in cannabis promote the death of brain cancer cells by essentially helping them feed upon themselves in a process called autophagy.,A study by Complutense University of Madrid found the chemicals in TOPIC_CONCEPT promote the death of brain cancer cells by essentially helping them feed upon themselves in a process called autophagy.,1,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"The lead author of the study, Professor David Fergusson, stated that ""the regular use of cannabis increases the risks that young people will try other illicit drugs.","The lead author of the study, Professor David Fergusson, stated that ""the regular use of TOPIC_CONCEPT increases the risks that young people will try other illicit drugs.",1,Cannabis in New Zealand,https://en.wikipedia.org/wiki/Cannabis_in_New_Zealand
We should legalize cannabis,cannabis,"The Drug Enforcement Administration (DEA) has claimed that cannabis leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""[REF] .","The Drug Enforcement Administration (DEA) has claimed that TOPIC_CONCEPT leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""[REF] .",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,Evidence suggests that cannabis users can develop tolerance to the effects of THC and experience withdrawal symptoms.,Evidence suggests that TOPIC_CONCEPT users can develop tolerance to the effects of THC and experience withdrawal symptoms.,1,Cannabis dependence,https://en.wikipedia.org/wiki/Cannabis_dependence
We should legalize cannabis,cannabis,The study reported that smoking both tobacco and cannabis synergistically increased the risk of respiratory symptoms and COPD.,The study reported that smoking both tobacco and TOPIC_CONCEPT synergistically increased the risk of respiratory symptoms and COPD.,1,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"For example, a review of the evidence by Louise Arsenault, et al., in 2004 reports that on an individual level, cannabis use confers an overall twofold increase in the relative risk of later schizophrenia, assuming a causal relationship.","For example, a review of the evidence by Louise Arsenault, et al., in 2004 reports that on an individual level, TOPIC_CONCEPT use confers an overall twofold increase in the relative risk of later schizophrenia, assuming a causal relationship.",1,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,cannabis,"In their commentary, NCPIC state: ""While modest use may not lead to significant neurotoxicity, these results corroborate similar findings within the animal literature and indicate that heavy daily cannabis use over protracted periods exerts harmful effects on brain tissue and mental health"" [REF].","In their commentary, NCPIC state: ""While modest use may not lead to significant neurotoxicity, these results corroborate similar findings within the animal literature and indicate that heavy daily TOPIC_CONCEPT use over protracted periods exerts harmful effects on brain tissue and mental health"" [REF].",1,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,cannabis,"In 2006 more motions were passed through OUSA at a Students General Meeting '..that OUSA declares the University campus a 'Prohibition Free Zone' where prohibition of cannabis shall not apply', and 'that OUSA condones the public smoking of cannabis on University grounds as a protest against cannabis prohibition'[REF].","In 2006 more motions were passed through OUSA at a Students General Meeting '..that OUSA declares the University campus a 'Prohibition Free Zone' where prohibition of TOPIC_CONCEPT shall not apply', and 'that OUSA condones the public smoking of TOPIC_CONCEPT on University grounds as a protest against cannabis prohibition'[REF].",0,Otago NORML,https://en.wikipedia.org/wiki/Otago_NORML
We should legalize cannabis,cannabis,"""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )Cannabis is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.","""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )TOPIC_CONCEPT is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.",1,Wootton Report,https://en.wikipedia.org/wiki/Wootton_Report
We should legalize cannabis,cannabis,"In 2004, a study entitled ""The Limited Relevance of Drug Policy: Cannabis in Amsterdam and in San Francisco,"" found strict laws against cannabis use have a low impact on usage rates [REF].","In 2004, a study entitled ""The Limited Relevance of Drug Policy: TOPIC_CONCEPT in Amsterdam and in San Francisco,"" found strict laws against TOPIC_CONCEPT use have a low impact on usage rates [REF].",0,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,"3% and 7%, respectively, believe that cannabis is ""very difficult"" to find).","3% and 7%, respectively, believe that TOPIC_CONCEPT is ""very difficult"" to find).",0,Cannabis in Australia,https://en.wikipedia.org/wiki/Cannabis_in_Australia
We should legalize cannabis,cannabis,The study also demonstrated a link between an increase in cannabis use and incidences of testicular cancer in men since the 1950s [REF].,The study also demonstrated a link between an increase in TOPIC_CONCEPT use and incidences of testicular cancer in men since the 1950s [REF].,1,Long-term effects of cannabis,https://en.wikipedia.org/wiki/Long-term_effects_of_cannabis
We should legalize cannabis,cannabis,Researchers from the University of British Columbia presented a study at the American Thoracic Society 2007 International Conference showing that smoking cannabis and tobacco together more than tripled the risk of developing COPD over just smoking tobacco alone.[REF],Researchers from the University of British Columbia presented a study at the American Thoracic Society 2007 International Conference showing that smoking TOPIC_CONCEPT and tobacco together more than tripled the risk of developing COPD over just smoking tobacco alone.[REF],1,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"According to a World Health Organisation report: ""As cannabis is an illegal drug its cultivation, harvesting and distribution are not subject to quality control mechanisms to ensure the reliability and safety of the product used by consumers.","According to a World Health Organisation report: ""As TOPIC_CONCEPT is an illegal drug its cultivation, harvesting and distribution are not subject to quality control mechanisms to ensure the reliability and safety of the product used by consumers.",0,Arguments for and against drug prohibition,https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition
We should legalize cannabis,cannabis,"Since the early 20th century cannabis has been subject to legal restrictions with the possession, use, and sale of cannabis preparations containing psychoactive cannabinoids currently illegal in most countries of the world; the United Nations has said that cannabis is the most used illicit drug in the world [REF].","Since the early 20th century TOPIC_CONCEPT has been subject to legal restrictions with the possession, use, and sale of TOPIC_CONCEPT preparations containing psychoactive cannabinoids currently illegal in most countries of the world; the United Nations has said that TOPIC_CONCEPT is the most used illicit drug in the world [REF].",1,Cannabis (drug),https://en.wikipedia.org/wiki/Cannabis_(drug)
We should legalize cannabis,cannabis,"Victoria shows similar figures to NSW; 66% and 32%, respectively, believe cannabis is ""very easy"" to find and 0% and 3%, respectively, believe it is ""very difficult"" to find).","Victoria shows similar figures to NSW; 66% and 32%, respectively, believe TOPIC_CONCEPT is ""very easy"" to find and 0% and 3%, respectively, believe it is ""very difficult"" to find).",0,Cannabis in Australia,https://en.wikipedia.org/wiki/Cannabis_in_Australia
We should legalize cannabis,cannabis,"In his petition, Gettman also argues that cannabis is an acceptably safe medication.","In his petition, Gettman also argues that TOPIC_CONCEPT is an acceptably safe medication.",1,Removal of cannabis from Schedule I of the Controlled Substances Act,https://en.wikipedia.org/wiki/Removal_of_cannabis_from_Schedule_I_of_the_Controlled_Substances_Act
We should legalize cannabis,cannabis,"While some reports indicate that cannabis can lessen the severity of mania and depression symptoms, others indicate cannabis can trigger mania and has been noted to have ""a detrimental and potentially causative role in the development of psychosis.""[REF]","While some reports indicate that TOPIC_CONCEPT can lessen the severity of mania and depression symptoms, others indicate TOPIC_CONCEPT can trigger mania and has been noted to have ""a detrimental and potentially causative role in the development of psychosis.""[REF]",0,Treatment of bipolar disorder,https://en.wikipedia.org/wiki/Treatment_of_bipolar_disorder
We should legalize cannabis,cannabis,A recent study finds that inhaled cannabis is effective in alleviating neuropathy and pain resulting from e.g.,A recent study finds that inhaled TOPIC_CONCEPT is effective in alleviating neuropathy and pain resulting from e.g.,1,Analgesic,https://en.wikipedia.org/wiki/Analgesic
We should legalize cannabis,cannabis,"Despite clinical opinion, it remains important to establish whether cannabis is harmful, what outcomes are particularly susceptible, and how such effects are mediated.""[REF] .","Despite clinical opinion, it remains important to establish whether TOPIC_CONCEPT is harmful, what outcomes are particularly susceptible, and how such effects are mediated.""[REF] .",0,Schizoaffective disorder,https://en.wikipedia.org/wiki/Schizoaffective_disorder
We should legalize cannabis,cannabis,"The Supreme Court disagreed, reasoning that cannabis grown for medical purposes is indistinguishable from illicit marijuana and that, because the intrastate medical cannabis market contributes to the interstate illicit marijuana market, the Commerce Clause applies.","The Supreme Court disagreed, reasoning that TOPIC_CONCEPT grown for medical purposes is indistinguishable from illicit marijuana and that, because the intrastate medical cannabis market contributes to the interstate illicit marijuana market, the Commerce Clause applies.",0,Legal history of cannabis in the United States,https://en.wikipedia.org/wiki/Legal_history_of_cannabis_in_the_United_States
We should legalize cannabis,cannabis,Cannabis also has been shown to have a synergistic cytotoxic effect on lung cancer cell cultures in vitro with the food additive butylated hydroxyanisole (BHA) and possibly the related compound butylated hydroxytoluene (BHT).,TOPIC_CONCEPT also has been shown to have a synergistic cytotoxic effect on lung cancer cell cultures in vitro with the food additive butylated hydroxyanisole (BHA) and possibly the related compound butylated hydroxytoluene (BHT).,1,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,"According to the UK medical journal The Lancet, Cannabis has a lower rate of dependence compared to both nicotine and alcohol [REF].","According to the UK medical journal The Lancet, TOPIC_CONCEPT has a lower rate of dependence compared to both nicotine and alcohol [REF].",1,Cannabis,https://en.wikipedia.org/wiki/Cannabis
We should legalize cannabis,cannabis,The DPA believes that cannabis should be legal for medicinal purposes of severely ill individuals.,The DPA believes that TOPIC_CONCEPT should be legal for medicinal purposes of severely ill individuals.,1,Drug Policy Alliance,https://en.wikipedia.org/wiki/Drug_Policy_Alliance
We should legalize cannabis,cannabis,"Writing in the Canadian Medical Association Journal, smoking cannabis from a pipe may significantly relieve chronic pain in patients with damaged nerves [REF].","Writing in the Canadian Medical Association Journal, smoking TOPIC_CONCEPT from a pipe may significantly relieve chronic pain in patients with damaged nerves [REF].",1,Cannabis,https://en.wikipedia.org/wiki/Cannabis
We should legalize cannabis,cannabis,A national telephone survey conducted in 1993 found that between 52% and 55% of Australians believed that growing and possessing cannabis for personal use should be legalised [REF].,A national telephone survey conducted in 1993 found that between 52% and 55% of Australians believed that growing and possessing TOPIC_CONCEPT for personal use should be legalised [REF].,1,Arguments for and against drug prohibition,https://en.wikipedia.org/wiki/Arguments_for_and_against_drug_prohibition
We should legalize cannabis,cannabis,"Smoked cannabis was also found to relieve neuropathy associated with CRPS type I, spinal cord injury, peripheral neuropathy, and nerve injury [REF].","Smoked TOPIC_CONCEPT was also found to relieve neuropathy associated with CRPS type I, spinal cord injury, peripheral neuropathy, and nerve injury [REF].",0,Peripheral neuropathy,https://en.wikipedia.org/wiki/Peripheral_neuropathy
We should legalize cannabis,cannabis,"Proponents of fully decriminalizing cannabis to allow the regulated cultivation and sale of cannabis, including Law Enforcement Against Prohibition, argue that fully decriminalizing cannabis would largely decrease financial gains earned by gangs in black market cannabis sales and trafficking [REF].","Proponents of fully decriminalizing TOPIC_CONCEPT to allow the regulated cultivation and sale of TOPIC_CONCEPT, including Law Enforcement Against Prohibition, argue that fully decriminalizing TOPIC_CONCEPT would largely decrease financial gains earned by gangs in black market TOPIC_CONCEPT sales and trafficking [REF].",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,A state-wide survey of students in New South Wales (NSW) indicated that the use of cannabis is significantly higher among indigenous students [REF].,A state-wide survey of students in New South Wales (NSW) indicated that the use of TOPIC_CONCEPT is significantly higher among indigenous students [REF].,0,Cannabis in Australia,https://en.wikipedia.org/wiki/Cannabis_in_Australia
We should legalize cannabis,cannabis,"Controlled research on treating Tourette syndrome with a synthetic version of tetrahydrocannabinol, (brand name Marinol) (the main psychoactive chemical found in cannabis), showed the patients taking Marinol had a beneficial response without serious adverse effects;[REF][REF] other studies have shown that cannabis ""has no effects on tics and increases the individuals inner tension"" [REF].","Controlled research on treating Tourette syndrome with a synthetic version of tetrahydrocannabinol, (brand name Marinol) (the main psychoactive chemical found in TOPIC_CONCEPT), showed the patients taking Marinol had a beneficial response without serious adverse effects;[REF][REF] other studies have shown that TOPIC_CONCEPT ""has no effects on tics and increases the individuals inner tension"" [REF].",1,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"Citing more potent strains and increased ""cannabis-related health damage"", Mr. Costa proclaimed that ""the harmful characteristics of cannabis are no longer that different from those of other plant-based drugs such as cocaine and heroin.""[REF]","Citing more potent strains and increased ""cannabis-related health damage"", Mr. Costa proclaimed that ""the harmful characteristics of TOPIC_CONCEPT are no longer that different from those of other plant-based drugs such as cocaine and heroin.""[REF]",1,Antonio Maria Costa,https://en.wikipedia.org/wiki/Antonio_Maria_Costa
We should legalize cannabis,cannabis,"A Dutch double blind, randomized, placebo-controlled, cross-over study examining male volunteers aged 18-45 years with a self-reported history of regular cannabis use concluded that smoking of cannabis with very high THC levels (marijuana with 9-23% THC), as currently sold in coffee shops in the Netherlands, may lead to higher THC blood-serum concentrations.","A Dutch double blind, randomized, placebo-controlled, cross-over study examining male volunteers aged 18-45 years with a self-reported history of regular TOPIC_CONCEPT use concluded that smoking of TOPIC_CONCEPT with very high THC levels (marijuana with 9-23% THC), as currently sold in coffee shops in the Netherlands, may lead to higher THC blood-serum concentrations.",0,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,"In recent years, Copenhagen Municipality has been in favor of legalizing cannabis via state-run coffee-shops, in order to take over the control of the substance which is currently mostly supplied by criminal gangs [REF].","In recent years, Copenhagen Municipality has been in favor of legalizing TOPIC_CONCEPT via state-run coffee-shops, in order to take over the control of the substance which is currently mostly supplied by criminal gangs [REF].",1,Legality of cannabis,https://en.wikipedia.org/wiki/Legality_of_cannabis
We should legalize cannabis,cannabis,"Francis L. Young, an administrative law judge with the United States Drug Enforcement Agency declared in 1988 that, ""in its natural form, [cannabis] is one of the safest therapeutically active substances known.""[REF]","Francis L. Young, an administrative law judge with the United States Drug Enforcement Agency declared in 1988 that, ""in its natural form, [TOPIC_CONCEPT] is one of the safest therapeutically active substances known.""[REF]",1,Medical cannabis in the United States,https://en.wikipedia.org/wiki/Medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,"Clinical trials conducted by the American Marijuana Policy Project, have shown the efficacy of cannabis as a treatment for cancer and AIDS patients, who often suffer from clinical depression, and from nausea and resulting weight loss due to chemotherapy and other aggressive treatments [REF].","Clinical trials conducted by the American Marijuana Policy Project, have shown the efficacy of TOPIC_CONCEPT as a treatment for cancer and AIDS patients, who often suffer from clinical depression, and from nausea and resulting weight loss due to chemotherapy and other aggressive treatments [REF].",1,Cannabis,https://en.wikipedia.org/wiki/Cannabis
We should legalize cannabis,cannabis,A recent study has also concluded that cannabinoids found in Cannabis might have the ability to prevent Alzheimer's disease [REF].,A recent study has also concluded that cannabinoids found in TOPIC_CONCEPT might have the ability to prevent Alzheimer's disease [REF].,1,Cannabis,https://en.wikipedia.org/wiki/Cannabis
We should legalize cannabis,cannabis,Studies have shown that vaporizing cannabis exposes the user to lower levels of harmful substances than smoking cannabis [REF].,Studies have shown that vaporizing TOPIC_CONCEPT exposes the user to lower levels of harmful substances than smoking TOPIC_CONCEPT [REF].,0,Vaporizer (cannabis),https://en.wikipedia.org/wiki/Vaporizer_(cannabis)
We should legalize cannabis,cannabis,"The government then displayed the clip of which featured Brian and Stewie performing the featured number, and then stated that Family Guy is an example of how the United States supports cannabis use [REF].","The government then displayed the clip of which featured Brian and Stewie performing the featured number, and then stated that Family Guy is an example of how the United States supports TOPIC_CONCEPT use [REF].",0,420 (Family Guy),https://en.wikipedia.org/wiki/420_(Family_Guy)
We should legalize cannabis,cannabis,"Gonzales v. Raich, 2005 ruled in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use.","Gonzales v. Raich, 2005 ruled in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of TOPIC_CONCEPT, including medical use.",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,"In 2001, a report by David Boyum and Mark Kleiman entitled ""Substance Abuse Policy from a Crime-Control Perspective"" found the ""high"" from cannabis is unlikely to trigger violence and concluded:[REF] .","In 2001, a report by David Boyum and Mark Kleiman entitled ""Substance Abuse Policy from a Crime-Control Perspective"" found the ""high"" from TOPIC_CONCEPT is unlikely to trigger violence and concluded:[REF] .",1,Decriminalization of non-medical cannabis in the United States,https://en.wikipedia.org/wiki/Decriminalization_of_non-medical_cannabis_in_the_United_States
We should legalize cannabis,cannabis,Recent research has been conducted on if the use of cannabis could control some of the symptoms of ALS or Lou Gehrig's Disease.,Recent research has been conducted on if the use of TOPIC_CONCEPT could control some of the symptoms of ALS or Lou Gehrig's Disease.,0,Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis
We should legalize cannabis,cannabis,"Moreover, a 2005 meta-analysis found that cannabis use is a significant independent risk factor for developing psychotic symptoms and psychosis [REF].","Moreover, a 2005 meta-analysis found that TOPIC_CONCEPT use is a significant independent risk factor for developing psychotic symptoms and psychosis [REF].",1,Schizoaffective disorder,https://en.wikipedia.org/wiki/Schizoaffective_disorder
We should legalize cannabis,cannabis,"According to a 2006 United Kingdom government report, using cannabis is much less dangerous than tobacco, prescription drugs, and alcohol in social harms, physical harm, and addiction [REF].","According to a 2006 United Kingdom government report, using TOPIC_CONCEPT is much less dangerous than tobacco, prescription drugs, and alcohol in social harms, physical harm, and addiction [REF].",1,Effects of cannabis,https://en.wikipedia.org/wiki/Effects_of_cannabis
We should legalize cannabis,cannabis,"In November 2009: Professor David Nutt was asked to resign from his position as chairman of the Government's Advisory Council on the Misuse of Drugs by the then Home Secretary (Alan Johnson), after publishing in a professional journal figures which indicated that cannabis was less harmful than both alcohol and tobacco [REF].","In November 2009: Professor David Nutt was asked to resign from his position as chairman of the Government's Advisory Council on the Misuse of Drugs by the then Home Secretary (Alan Johnson), after publishing in a professional journal figures which indicated that TOPIC_CONCEPT was less harmful than both alcohol and tobacco [REF].",1,Legality of cannabis,https://en.wikipedia.org/wiki/Legality_of_cannabis
